iter	Logloss
0	0.636244648
1	0.5913290892
2	0.5537943372
3	0.5276835682
4	0.5081828358
5	0.4923445672
6	0.4804744539
7	0.4692909378
8	0.4611846698
9	0.453570099
10	0.4485365355
11	0.4436524662
12	0.4393471352
13	0.4360813354
14	0.4334933997
15	0.4308541931
16	0.4289603631
17	0.4279796435
18	0.426455827
19	0.4246462023
20	0.4223553215
21	0.4207184257
22	0.4193933441
23	0.4183340586
24	0.416223093
25	0.4147530287
26	0.4139974689
27	0.4132406201
28	0.412627626
29	0.4117550875
30	0.4107942188
31	0.4099721133
32	0.4095908208
33	0.4089655811
34	0.4083549717
35	0.4079533449
36	0.4073397386
37	0.4067997031
38	0.4063059113
39	0.4057090622
40	0.4049666504
41	0.4043784056
42	0.4039385271
43	0.4034352287
44	0.4029216827
45	0.4022549042
46	0.4017156099
47	0.401087921
48	0.400530935
49	0.3996253975
