iter	Passed	Remaining
0	5	268
1	9	229
2	13	211
3	17	199
4	21	190
5	25	186
6	42	263
7	46	245
8	72	331
9	77	310
10	81	289
11	85	270
12	90	256
13	93	241
14	159	371
15	162	346
16	168	327
17	171	305
18	176	287
19	180	270
20	184	254
21	188	239
22	271	318
23	276	299
24	280	280
25	283	261
26	287	245
27	291	229
28	295	213
29	299	199
30	303	185
31	349	196
32	354	182
33	358	168
34	364	156
35	380	147
36	384	134
37	393	124
38	431	121
39	435	108
40	442	97
41	446	85
42	450	73
43	455	62
44	459	51
45	463	40
46	467	29
47	502	20
48	506	10
49	510	0
