;genero;idoso;parceiro;dependentes;tempoDeServico;ServicoTelefone;MultiLinhas;ServicoInternet;ServicoSegurancaCyber;ServicoBackup;SeguroDispositivos;ServicoSuporteTecnico;StreamingTV;StreamingFilmes;Contrato;BillingDigital;MetodoPagamento;FaturaMensal;FaturaTotal;NumTickets;NumTicketsTecnico;Churn
6027;Masculino;0.0;Sim;Sim;35.0;Sim;Sim;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Transferência Bancária (Automática);25.45;809.25;0.0;0.0;0
1961;Feminino;0.0;Não;Não;42.0;Sim;Sim;DSL;;Sim;Não;Não;Não;Não;1 Ano;Sim;Transferência Bancária (Automática);60.15;2421.6;0.0;0.0;0
5308;Feminino;0.0;Não;Não;69.0;Sim;Não;DSL;Sim;Não;Sim;Sim;Sim;Sim;2 Anos;Sim;Cartão de Crédito (Automático);82.45;5555.3;0.0;0.0;0
3587;Masculino;1.0;Não;Não;9.0;Sim;;Fibra óptica;Não;Sim;Não;Não;Sim;Sim;Mensal;Sim;Cartão de Crédito (Automático);99.45;919.4;0.0;0.0;1
576;Masculino;0.0;Sim;Sim;31.0;Sim;Sim;Fibra óptica;Sim;Não;Sim;Não;Sim;Não;1 Ano;Não;Transferência Bancária (Automática);98.05;3082.1;;0.0;0
5261;Masculino;1.0;Sim;Não;54.0;Sim;Sim;Fibra óptica;Não;Sim;Sim;Sim;Sim;Sim;2 Anos;Sim;Cheque Eletrônico;110.45;6077.75;1.0;0.0;0
6435;Masculino;0.0;;Sim;-2.0;;Sem serviço de telefone;DSL;Não;Sim;Sim;Sim;;Não;2 Anos;Não;Cheque por Carta;50.2;2554;0.0;2.0;0
3983;Masculino;0.0;Não;Não;1.0;Não;Sem serviço de telefone;DSL;Não;Não;Não;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;24.25;24.25;1.0;0.0;1
3262;Feminino;;Sim;Sim;34.0;Sim;Sim;Fibra óptica;Não;Não;Sim;Não;Sim;Não;Mensal;Não;Cheque Eletrônico;87.45;2874.15;0.0;4.0;1
3227;Masculino;0.0;Sim;Sim;12.0;Sim;Não;DSL;Não;Não;Não;Não;Sim;Não;Mensal;Sim;Cheque por Carta;56.3;628.65;0.0;0.0;0
1700;Masculino;0.0;Não;Não;47.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Transferência Bancária (Automática);20.45;943;0.0;0.0;0
3110;Feminino;0.0;Não;Não;1.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Não;Cheque por Carta;19.1;19.1;0.0;0.0;0
3103;Feminino;1.0;Não;Não;1.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Sim;Cheque Eletrônico;19.45;19.45;0.0;0.0;1
1466;Masculino;0.0;Sim;Sim;12.0;Sim;Não;;Sim;Não;Não;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;49.2;571.15;0.0;0.0;0
6305;Feminino;1.0;Não;Não;26.0;Sim;Sim;Fibra óptica;;Sim;Não;Não;Não;Sim;Mensal;;Cheque Eletrônico;95.0;2497.2;5.0;2.0;1
5124;Feminino;0.0;Sim;Sim;25.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;;Não;Cheque por Carta;20.1;486.05;0.0;0.0;0
1059;Masculino;0.0;Não;Não;23.0;Sim;Sim;Fibra óptica;Não;Não;Não;Sim;Sim;Não;Mensal;;Cheque Eletrônico;90.6;1943.2;3.0;0.0;1
6343;Masculino;0.0;Não;Não;38.0;Sim;Não;;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;1 Ano;Não;Cheque por Carta;20.1;730.1;0.0;0.0;0
3929;Masculino;0.0;Sim;Sim;50.0;;Não;DSL;Não;Não;Não;Não;Não;Não;1 Ano;Sim;;44.8;2230.85;0.0;0.0;0
3915;Feminino;0.0;Sim;Não;59.0;Sim;Não;Fibra óptica;Sim;Não;Sim;Não;;Não;1 Ano;Sim;Cartão de Crédito (Automático);81.25;4639.45;0.0;;
3061;Masculino;1.0;Não;Não;23.0;Sim;Sim;Fibra óptica;Não;;Sim;Não;Sim;Sim;Mensal;Sim;Cheque Eletrônico;106.4;2483.5;0.0;1.0;1
5013;Masculino;1.0;Não;Não;23.0;Não;Sem serviço de telefone;DSL;Não;Não;Não;Não;Não;Sim;Mensal;Sim;Transferência Bancária (Automática);34.65;;0.0;0.0;0
6022;Feminino;0.0;Não;Não;20.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Sim;Cartão de Crédito (Automático);18.9;347.65;2.0;0.0;0
6304;Feminino;0.0;Não;Não;9.0;Sim;Não;;Não;;Não;Não;Sim;Não;Mensal;Sim;Transferência Bancária (Automática);77.65;714.15;0.0;0.0;1
4222;Masculino;0.0;Não;Não;45.0;Sim;Não;Fibra óptica;Sim;Sim;Sim;Sim;Sim;Sim;1 Ano;Não;;112.2;5031.85;4.0;0.0;0
349;Feminino;1.0;Sim;Não;64.0;Sim;Não;Fibra óptica;Sim;Sim;Sim;Não;Não;Sim;1 Ano;Não;Transferência Bancária (Automática);97.0;6430.9;0.0;0.0;0
2594;Feminino;0.0;Sim;Não;65.0;Sim;Sim;Fibra óptica;Não;Sim;Sim;Sim;Sim;Sim;2 Anos;Sim;Transferência Bancária (Automática);55.0;7082.85;0.0;0.0;0
1447;Masculino;0.0;Não;Sim;4.0;Sim;Sim;Fibra óptica;Não;Não;Não;Sim;Não;Não;Mensal;Não;Cartão de Crédito (Automático);80.8;332.45;0.0;0.0;1
